Collezione,Editore,Anno,Diverse
Foot 2006-2007,Panini,2007,2
UEFA Euro Poland-Ukraine 2012 Internazionale,Panini,2012,1
Calciatori 2005-2006,Panini,2006,1
FIFA World Cup USA 1994,Panini,1994,1
Calciatori 2013-2014,Panini,2014,1
Conmebol Libertadores 2024,Panini,2024,1
Weltmeister Sonderalbum 2018,Rewe,2018,1
Ligue 1 Adrenalyn XL 2019-2020,Panini,2020,1
Calciatori 1995-1996,Panini,1996,1
Calciatori 2000-2001,Panini,2001,1
Bayern Munich 2014-2015,Panini,2015,1
Calciatori 1986-1987,Panini,1987,1
